BTCUSDT,ETHUSDT,date
52294.73,1625.82,2021-03-26
52153.9,1621.87,2021-03-26
52189.11,1621.96,2021-03-26
52227.51,1622.53,2021-03-26
52247.52,1627.51,2021-03-26
52255.41,1627.09,2021-03-26
52240.43,1623.02,2021-03-26
52175.75,1623.07,2021-03-26
52100.72,1620.44,2021-03-26
51793.59,1613.0,2021-03-26
51828.89,1616.59,2021-03-26
51846.14,1618.98,2021-03-26
51772.45,1616.9,2021-03-26
51638.48,1613.15,2021-03-26
51673.69,1612.16,2021-03-26
51800.0,1614.48,2021-03-26
51737.64,1612.84,2021-03-26
51696.7,1613.33,2021-03-26
51852.97,1616.0,2021-03-26
51869.13,1616.07,2021-03-26
52027.05,1618.56,2021-03-26
52136.23,1619.4,2021-03-26
52359.86,1623.53,2021-03-26
52363.14,1620.54,2021-03-26
52223.22,1618.58,2021-03-26
52257.1,1618.35,2021-03-26
52544.56,1621.34,2021-03-26
52467.06,1621.0,2021-03-26
52442.42,1620.41,2021-03-26
52407.19,1618.73,2021-03-26
52389.62,1621.16,2021-03-26
52429.4,1620.49,2021-03-26
52324.2,1616.84,2021-03-26
52303.75,1613.87,2021-03-26
52197.52,1610.78,2021-03-26
52193.43,1610.86,2021-03-26
52377.58,1614.79,2021-03-26
52498.54,1619.35,2021-03-26
52384.6,1615.14,2021-03-26
52515.26,1618.34,2021-03-26
52681.51,1620.52,2021-03-26
52693.13,1619.41,2021-03-26
52582.99,1618.34,2021-03-26
52758.99,1621.5,2021-03-26
52830.87,1624.96,2021-03-26
52739.12,1621.84,2021-03-26
52743.08,1621.27,2021-03-26
52679.22,1621.29,2021-03-26
52580.0,1618.95,2021-03-26
52693.33,1621.67,2021-03-26
52681.44,1621.92,2021-03-26
52787.65,1622.9,2021-03-26
52796.95,1622.98,2021-03-26
52825.67,1623.49,2021-03-26
52676.11,1618.72,2021-03-26
52643.03,1619.27,2021-03-26
52730.0,1620.13,2021-03-26
52626.53,1618.66,2021-03-26
52616.51,1616.77,2021-03-26
52621.02,1617.34,2021-03-26
52795.51,1621.83,2021-03-26
52750.73,1620.86,2021-03-26
52643.34,1618.27,2021-03-26
52595.55,1617.28,2021-03-26
52702.6,1619.82,2021-03-26
52582.45,1617.17,2021-03-26
52467.61,1613.64,2021-03-26
52485.72,1612.32,2021-03-26
52488.44,1613.46,2021-03-26
52474.76,1613.53,2021-03-26
52569.56,1616.92,2021-03-26
52569.03,1614.61,2021-03-26
52926.91,1618.69,2021-03-26
53096.99,1622.16,2021-03-26
53165.87,1622.99,2021-03-26
53289.75,1625.01,2021-03-26
53448.13,1631.74,2021-03-26
53569.85,1629.54,2021-03-26
53821.83,1632.61,2021-03-26
53710.93,1634.79,2021-03-26
53479.66,1632.88,2021-03-26
53634.7,1633.6,2021-03-26
53544.47,1633.29,2021-03-26
53639.99,1632.87,2021-03-26
53528.37,1633.11,2021-03-26
53472.74,1632.4,2021-03-26
53421.0,1629.92,2021-03-26
53339.64,1628.42,2021-03-26
53182.68,1623.97,2021-03-26
53365.17,1626.62,2021-03-26
53458.69,1624.0,2021-03-26
